duration,totalDistance,totalEnergyBurned,vo2max,hr_min,hr_max,hr_q50,hr_q90,hr_q95,hr_q99,whr_min,whr_max,rhr_min,rhr_max,hrv_min,hrv_max,hrv_q50,hrv_q90,hrv_q95,hrv_q99
27.8315993,1.107258998,102.649532,42.9115,45.0,150.0,73.0,101.0,119.60000000000002,145.91999999999996,110.0,110.0,47.0,47.0,29.2927,115.19,54.2172,99.81708,107.50353999999999,113.65270799999999
35.26167518,3.084906883,354.7827736,42.9837,54.0,171.0,89.0,156.0,158.59999999999997,167.0,92.5,92.5,61.0,61.0,,,,,,
22.05735995,1.088800506,116.5811244,42.9837,46.0,127.0,68.0,101.0,110.0,125.09999999999997,117.0,117.0,50.0,50.0,66.9533,275.668,87.30369999999999,219.29932000000005,247.48365999999996,270.03113199999996
22.05735995,1.088800506,116.5811244,42.9837,46.0,127.0,68.0,101.0,110.0,125.09999999999997,117.0,117.0,50.0,50.0,66.9533,275.668,87.30369999999999,219.29932000000005,247.48365999999996,270.03113199999996
21.12832812,1.064095755,101.1869778,43.0005,45.0,137.0,62.0,96.30000000000001,106.0,124.86000000000001,97.0,97.0,46.0,46.0,60.0104,78.2887,69.18795,77.29633000000001,77.792515,78.189463
26.8885403,3.235240289,424.507739,42.9339,43.0,201.0,71.0,151.0,168.0,197.08000000000004,83.5,83.5,48.0,48.0,35.6949,91.4433,40.0664,81.16792,86.30560999999999,90.41576199999999
20.88416268,1.064556314,108.1316166,42.9339,47.0,121.0,62.5,93.0,107.10000000000002,117.0,115.0,115.0,51.0,51.0,83.3464,208.808,115.418,190.13,199.469,206.94019999999998
22.41150023,1.142288399,107.281896,42.7728,45.0,123.0,67.5,97.1,103.0,115.0,,,,,61.3912,118.435,86.83755,109.02454000000002,113.72977,117.493954
29.57968676,1.181505241,120.9529667,42.6216,48.0,115.0,73.0,90.48488,96.6,111.27999999999997,104.0,104.0,47.0,50.0,78.3494,91.1256,89.7171,90.84389999999999,90.98475000000002,91.09743
29.57968676,1.181505241,120.9529667,42.6216,48.0,115.0,73.0,90.48488,96.6,111.27999999999997,104.0,104.0,47.0,50.0,78.3494,91.1256,89.7171,90.84389999999999,90.98475000000002,91.09743
27.34913165,1.122020228,95.12590391,42.5801,44.0,95.0,61.0,80.0,85.0,91.0,105.0,105.0,46.0,46.0,23.1867,140.769,69.9043,120.27510000000002,130.52204999999998,138.71961
83.930463,3.334740388,609.9030519,42.5922,43.0,126.0,59.0,96.70000000000002,109.0,119.41,,,,,90.0875,122.205,106.14625000000001,118.99324999999999,120.599125,121.883825
31.42872005,2.033669382,135.3284046,42.7257,50.0,121.0,70.0,81.0,84.39999999999998,93.91999999999962,105.0,166.0,44.0,54.0,46.9534,46.9534,46.9534,46.9534,46.9534,46.9534
31.42872005,2.033669382,135.3284046,42.3709,50.0,121.0,70.0,81.0,84.39999999999998,93.91999999999962,105.0,166.0,44.0,54.0,46.9534,46.9534,46.9534,46.9534,46.9534,46.9534
55.98620182,6.176452718,859.6027966,42.7916,48.0,191.0,69.0,166.8,176.89999999999998,189.0,93.0,93.0,50.0,50.0,39.5767,52.2446,45.910650000000004,50.97781,51.611205,52.117920999999996
33.05935793,1.171929028,124.4698449,42.5253,43.0,92.0,57.0,80.30000000000001,82.14999999999998,88.11999999999989,103.0,103.0,45.0,45.0,81.9016,185.604,102.3534,164.34630000000004,174.97514999999999,183.47823
33.05935793,1.171929028,124.4698449,42.3357,43.0,92.0,57.0,80.30000000000001,82.14999999999998,88.11999999999989,103.0,103.0,45.0,45.0,81.9016,185.604,102.3534,164.34630000000004,174.97514999999999,183.47823
40.70249807,1.074978651,117.7081,42.3134,45.0,93.0,56.0,68.0,74.0,80.81,85.0,85.0,46.0,46.0,69.2883,155.651,80.4402,140.60884000000001,148.12992000000003,154.146784
24.70688343,1.052276263,107.182508,42.6593,44.0,87.0,56.0,75.0,77.0,82.57,91.0,175.0,45.0,47.0,56.9792,64.1492,61.497,63.618759999999995,63.883979999999994,64.096156
20.26586727,0.987046355,89.37162608,42.7052,43.0,102.0,55.5,86.70000000000002,94.0,100.94,,,,,81.4118,91.674,86.5429,90.64778000000001,91.16089000000001,91.57137800000001
22.8798259,3.05802847,347.6405956,44.265,50.0,199.0,70.0,159.00000000000006,181.0,196.98,95.0,103.0,45.0,55.0,11.6351,42.1437,41.4759,42.01014000000001,42.07692,42.130344
36.72116614,1.496410141,172.8146065,44.265,43.0,121.0,62.0,109.70000000000002,112.0,120.0,,,,,88.5988,88.5988,88.5988,88.5988,88.5988,88.5988
50.85693578,1.849282415,300.142624,44.321,49.0,172.0,76.0,152.4,163.0,169.44,91.0,119.0,44.0,52.0,,,,,,
8.057176584,1.131285961,118.298688,45.02,45.0,187.0,64.0,122.69999999999999,154.39999999999986,185.76999999999998,84.0,84.0,46.0,46.0,15.1956,79.7974,79.4284,79.72359999999999,79.7605,79.79001999999998
6.38983325,1.032614668,113.4956946,45.02,46.0,195.0,66.8913,148.7,166.84999999999997,185.93999999999994,,,,,17.9652,112.856,48.0807,89.55392,101.20495999999999,110.525792
6.455388349,1.025835952,109.5039522,45.02,47.0,190.0,60.0,146.0,159.0,184.0,80.5,80.5,49.0,49.0,59.9187,67.6618,63.79025,66.88749,67.27464499999999,67.584369
12.0361449,1.071976358,124.412,44.9528,51.0,188.0,145.0,180.0,183.0,186.0,83.5,87.5,47.0,53.0,45.7698,59.368,52.5689,58.00818,58.68809,59.232018000000004
8.787494117,1.052240675,113.700111,45.0782,43.0,182.0,65.0,122.0,135.39999999999998,176.69999999999993,98.0,98.0,,,32.3666,132.676,95.0151,125.14381999999999,128.90990999999997,131.92278199999998
6.822631133,1.022518061,103.3353309,45.0782,42.0,193.0,62.0,148.0,166.29999999999995,186.53,68.0,68.0,52.0,52.0,21.0193,85.9368,22.798,73.30904000000001,79.62292000000001,84.674024
15.7275606,2.008350891,221.580967,45.0763,42.0,192.0,60.0,124.60000000000002,138.60000000000002,183.12,98.0,98.0,44.0,44.0,23.8727,90.5959,65.07169999999999,84.72109,87.65849499999999,90.008419
15.7275606,2.008350891,221.580967,45.5516,42.0,192.0,60.0,124.60000000000002,138.60000000000002,183.12,98.0,98.0,44.0,44.0,23.8727,90.5959,65.07169999999999,84.72109,87.65849499999999,90.008419
18.25165395,1.076006014,96.36086272,45.4928,41.7391,134.0,64.0,105.0,110.0,114.73999999999995,78.0,115.0,42.0,46.0,61.178,144.628,85.1014,132.004,138.31599999999997,143.36559999999997
18.25165395,1.076006014,96.36086272,46.6705,41.7391,134.0,64.0,105.0,110.0,114.73999999999995,78.0,115.0,42.0,46.0,61.178,144.628,85.1014,132.004,138.31599999999997,143.36559999999997
60.25327005,7.012289474,950.7478368,45.4161,46.0,196.0,63.0,156.0,170.09999999999997,193.6599999999999,81.0,81.0,47.0,47.0,6.47109,157.186,72.5326,142.537,149.86149999999998,155.72109999999998
17.51415192,1.457424265,192.8941227,45.2569,44.0,161.0,65.5,110.30000000000001,125.0,156.98999999999995,86.0,86.0,45.0,45.0,58.3609,126.348,68.0033,109.52301,117.93550499999998,124.66550099999998
21.88227865,1.232275817,101.5508555,44.9799,41.0,97.0,57.0,84.30000000000001,91.14999999999998,95.46000000000004,,,,,120.42,120.42,120.42,120.42,120.42,120.42
21.88227865,1.232275817,101.5508555,45.083,41.0,97.0,57.0,84.30000000000001,91.14999999999998,95.46000000000004,,,,,120.42,120.42,120.42,120.42,120.42,120.42
23.42258452,1.000742575,75.45523207,44.6353,47.0,116.0,64.0,85.0,89.79999999999998,94.80000000000001,88.0,88.0,48.0,48.0,74.8574,90.956,82.9067,89.34613999999999,90.15106999999999,90.79501400000001
22.16795735,1.089925752,100.2784995,44.7121,45.0,168.0,68.0,105.0,125.0,157.31999999999994,103.0,103.0,46.0,47.0,24.3798,126.718,60.412850000000006,109.37323,118.04561499999998,124.98352299999999
22.16795735,1.089925752,100.2784995,44.8196,45.0,168.0,68.0,105.0,125.0,157.31999999999994,103.0,103.0,46.0,47.0,24.3798,126.718,60.412850000000006,109.37323,118.04561499999998,124.98352299999999
37.04786195,1.715703446,162.3785236,44.826,48.0,166.0,79.0,140.40000000000003,152.2,165.0,,,,,55.4392,90.6156,73.0274,87.09796,88.85678,90.26383600000001
